Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
empty_tensor,,,6.37,6.37,0,0,0,0
aten::copy_,,,89.54,89.54,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.74,1.74,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.05,1.05,0,0,0,0
aten::to,,,2.7,190.47,0,0,0,0
aten::_to_copy,,,7.44,187.77,0,0,0,0
aten::empty_strided,,,12.14,18.61,0,0,0,0
empty_tensor,,,6.47,6.47,0,0,0,0
aten::copy_,,,161.72,161.72,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.86,1.86,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.3,1.3,0,0,0,0
aten::to,,,3.18,123.96,0,0,0,0
aten::_to_copy,,,8.31,120.78,0,0,0,0
aten::empty_strided,,,10.95,17.06,0,0,0,0
empty_tensor,,,6.11,6.11,0,0,0,0
aten::copy_,,,95.41,95.41,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,2.09,2.09,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.23,1.23,0,0,0,0
aten::to,,,2.58,159.37,0,0,0,0
aten::_to_copy,,,7.73,156.79,0,0,0,0
aten::empty_strided,,,11.61,18.25,0,0,0,0
empty_tensor,,,6.64,6.64,0,0,0,0
aten::copy_,,,130.81,130.81,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.75,1.75,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.8,0.8,0,0,0,0
aten::to,,,2.98,124.91,0,0,0,0
aten::_to_copy,,,7.57,121.93,0,0,0,0
aten::empty_strided,,,10.78,17.12,0,0,0,0
empty_tensor,,,6.34,6.34,0,0,0,0
aten::copy_,,,97.24,97.24,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.96,1.96,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.33,1.33,0,0,0,0
aten::to,,,2.8,187.92,0,0,0,0
aten::_to_copy,,,7.72,185.12,0,0,0,0
aten::empty_strided,,,11.8,18.18,0,0,0,0
empty_tensor,,,6.38,6.38,0,0,0,0
aten::copy_,,,159.22,159.22,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.64,1.64,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.97,0.97,0,0,0,0
aten::to,,,2.72,117.33,0,0,0,0
aten::_to_copy,,,7.52,114.61,0,0,0,0
aten::empty_strided,,,11.72,18.23,0,0,0,0
empty_tensor,,,6.51,6.51,0,0,0,0
aten::copy_,,,88.86,88.86,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.95,1.95,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.99,0.99,0,0,0,0
aten::to,,,3.28,278.54,0,0,0,0
aten::_to_copy,,,8.28,275.26,0,0,0,0
aten::empty_strided,,,11.73,17.94,0,0,0,0
empty_tensor,,,6.21,6.21,0,0,0,0
aten::copy_,,,249.04,249.04,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.87,1.87,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.22,1.22,0,0,0,0
aten::to,,,2.67,95.25,0,0,0,0
aten::_to_copy,,,7.99,92.58,0,0,0,0
aten::empty_strided,,,11.67,18.0,0,0,0,0
empty_tensor,,,6.33,6.33,0,0,0,0
aten::copy_,,,66.59,66.59,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.36,1.36,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.28,1.28,0,0,0,0
aten::to,,,2.86,90.38,0,0,0,0
aten::_to_copy,,,7.06,87.52,0,0,0,0
aten::empty_strided,,,11.03,17.28,0,0,0,0
empty_tensor,,,6.25,6.25,0,0,0,0
aten::copy_,,,63.18,63.18,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.58,1.58,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.97,0.97,0,0,0,0
aten::to,,,2.48,85.07,0,0,0,0
aten::_to_copy,,,6.35,82.59,0,0,0,0
aten::empty_strided,,,10.53,16.61,0,0,0,0
empty_tensor,,,6.08,6.08,0,0,0,0
aten::copy_,,,59.63,59.63,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.82,1.82,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.64,1.64,0,0,0,0
aten::to,,,2.69,1694.6,0,0,0,0
aten::_to_copy,,,8.59,1691.91,0,0,0,0
aten::empty_strided,,,12.12,18.64,0,0,0,0
empty_tensor,,,6.52,6.52,0,0,0,0
aten::copy_,,,1664.68,1664.68,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,2.34,2.34,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.04,1.04,0,0,0,0
aten::to,,,2.88,107.76,0,0,0,0
aten::_to_copy,,,7.52,104.88,0,0,0,0
aten::empty_strided,,,12.36,20.1,0,0,0,0
empty_tensor,,,7.74,7.74,0,0,0,0
aten::copy_,,,77.26,77.26,0,0,0,0
