Step Id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,4469,2,aclnnRelu_Relu_Relu,Relu,dynamic,AI_VECTOR_CORE,1753145999159066.553	,3.280,36.709000,48,0,NO,"""1,900,256""",FLOAT,NCL,"""1,900,256""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541,133138,0.064,0.041,1.002,0.65,0.229,0.149,0.215,0.14,0.0,0.000
0,4294967295,4470,2,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1753145999159164.015	,5.300,94.220000,19,0,NO,"""900,256;4,256;4""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""900,4""",FLOAT,ND,N/A,3.608,123406,0.22,0.061,3.281,0.909,0.293,0.081,0.766,0.212,0.152,0.042,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.898
0,4294967295,4471,2,aclnnClamp_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1753145999159232.337	,3.020,62.950000,4,0,NO,"""1,900,4;;""",FLOAT;FLOAT;FLOAT,NCL;ND;ND,"""1,900,4""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264,16300,0.18,0.079,0.993,0.439,0.298,0.131,0.133,0.059,0.154,0.000
0,4294967295,4472,2,aclnnClamp_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1753145999159277.498	,3.140,42.230000,4,0,NO,"""1,900,4;;""",FLOAT;FLOAT;FLOAT,NCL;ND;ND,"""1,900,4""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.245,16166,0.181,0.081,1.055,0.47,0.303,0.135,0.141,0.063,0.154,0.000
0,4294967295,4473,2,aclnnRsubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1753145999159321.778	,1.700,41.110000,4,0,NO,""";1,900,4""",FLOAT;FLOAT,ND;NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096,7892,0.041,0.037,0.434,0.396,0.311,0.284,0.143,0.131,0.115,0.000
0,4294967295,4474,2,aclnnClamp_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1753145999159356.619	,3.260,33.050000,4,0,NO,"""1,900,4;;""",FLOAT;FLOAT;FLOAT,NCL;ND;ND,"""1,900,4""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529,18208,0.181,0.072,1.048,0.414,0.319,0.126,0.132,0.052,0.156,0.000
0,4294967295,4475,2,aclnnDiv_RealDivAiCore_RealDiv,RealDiv,dynamic,AI_VECTOR_CORE,1753145999159402.640	,1.700,42.990000,4,0,NO,"""1,900,4;1,900,4""",FLOAT;FLOAT,NCL;NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,6984,0.043,0.044,0.197,0.203,0.243,0.25,0.145,0.149,0.216,0.000
0,4294967295,4476,2,aclnnLog_LogAiCore_Log,Log,dynamic,AI_VECTOR_CORE,1753145999159445.881	,1.520,41.550000,4,0,NO,"""1,900,4""",FLOAT,NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864,6220,0.043,0.05,0.186,0.215,0.128,0.148,0.142,0.165,0.18,0.000
0,4294967295,4477,2,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1753145999159530.583	,1.740,82.980000,4,0,NO,"""1,900,4;1,900,4""",FLOAT;FLOAT,NCL;NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967,6964,0.031,0.032,0.179,0.186,0.243,0.251,0.141,0.146,0.193,0.000
0,4294967295,4478,2,aclnnSigmoid_SigmoidAiCore_Sigmoid,Sigmoid,dynamic,AI_VECTOR_CORE,1753145999159564.683	,1.600,32.510000,4,0,NO,"""1,900,4""",FLOAT,NCL,"""1,900,4""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907,6533,0.11,0.121,0.193,0.212,0.128,0.141,0.144,0.159,0.167,0.000
