Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnConstantPadNd_PadV3AiCore_MemSet,AI_VECTOR_CORE,2,2216,8.96,1753145998200817.998	,1753145998200826.958	
0,aclnnConstantPadNd_PadV3AiCore_PadV3,MIX_AIV,2,2217,25.921,1753145998200844.578	,1753145998200870.499	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2218,9.64,1753145998200886.379	,1753145998200896.019	
0,aclnnRoll_RollAiCore_Roll,AI_VECTOR_CORE,2,2219,9.82,1753145998200913.620	,1753145998200923.440	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2220,8.88,1753145998200929.360	,1753145998200938.240	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2221,15.521,1753145998200961.120	,1753145998200976.641	
0,aclnnRoll_RollAiCore_Roll,AI_VECTOR_CORE,2,2222,7.28,1753145998200986.961	,1753145998200994.241	
0,aclnnRoll_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2223,16.421,1753145998201001.021	,1753145998201017.442	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2224,13.64,1753145998201049.502	,1753145998201063.142	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,2225,70.521,1753145998201114.804	,1753145998201185.325	
0,aclnnMuls_SliceAiCore_Slice,AI_VECTOR_CORE,2,2226,9.98,1753145998201185.365	,1753145998201195.345	
0,aclnnMuls_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2227,20.381,1753145998201195.365	,1753145998201215.746	
0,aclnnMuls_MulAiCore_Mul,AI_VECTOR_CORE,2,2228,8.3,1753145998201215.766	,1753145998201224.066	
0,aclnnMatmul_SliceAiCore_Slice,AI_VECTOR_CORE,2,2229,8.761,1753145998201261.906	,1753145998201270.667	
0,aclnnMatmul_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2230,31.86,1753145998201274.067	,1753145998201305.927	
0,aclnnMatmul_BatchMatMulNd_MemSet,AI_VECTOR_CORE,2,2231,14.2,1753145998201314.228	,1753145998201328.428	
0,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,2,2232,36.68,1753145998201328.448	,1753145998201365.128	
0,aclnnIndex_IndexAiCore_Index,AI_VECTOR_CORE,2,2233,25.26,1753145998201373.329	,1753145998201398.589	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,2234,12.5,1753145998201398.669	,1753145998201411.169	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2235,26.841,1753145998201444.550	,1753145998201471.391	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,2,2236,22.02,1753145998201479.831	,1753145998201501.851	
