Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,Sin,AI_VECTOR_CORE,33,256.167,2.22,7.762,20.801,0.35
0,Cast,AI_VECTOR_CORE,130,250.408,1.02,1.926,14.5,0.342
0,ArgMaxWithValue,AI_VECTOR_CORE,7,238.583,23.861,34.083,94.041,0.326
0,Pack,AI_VECTOR_CORE,51,230.903,1.76,4.527,18.721,0.315
0,Roll,AI_VECTOR_CORE,24,224.606,6.18,9.358,17.321,0.306
0,Equal,AI_VECTOR_CORE,45,198.162,2.12,4.403,12.74,0.27
0,ZerosLike,AI_VECTOR_CORE,34,182.264,1.18,5.36,13.24,0.249
0,Fill,AI_VECTOR_CORE,80,173.864,1.08,2.173,12.961,0.237
0,ReduceAny,MIX_AIV,12,163.304,8.16,13.608,19.261,0.223
0,BroadcastTo,AI_VECTOR_CORE,61,153.263,1.2,2.512,10.4,0.209
0,Conv2D,AI_CORE,5,148.722,13.64,29.744,60.241,0.203
0,MatMulV3,MIX_AIC,2,136.523,67.642,68.261,68.881,0.186
0,SelectV2,AI_VECTOR_CORE,12,125.762,9.7,10.48,13.14,0.172
0,NotEqual,AI_VECTOR_CORE,10,118.042,8.9,11.804,28.141,0.161
0,Cumsum,AI_CPU,1,117.322,117.322,117.322,117.322,0.16
0,Tile,AI_VECTOR_CORE,23,117.022,1.94,5.087,10.84,0.16
0,Range,AI_VECTOR_CORE,17,116.903,4.38,6.876,10.74,0.16
0,Cumsum,AI_VECTOR_CORE,8,105.742,5.3,13.217,21.96,0.144
0,ReduceSum,MIX_AIV,28,99.186,2.22,3.542,5.24,0.135
0,ReduceMax,MIX_AIV,6,85.664,13.921,14.277,14.56,0.117
0,GroupNormSilu,AI_VECTOR_CORE,4,68.261,12.36,17.065,27.08,0.093
0,LinSpace,AI_VECTOR_CORE,16,66.101,2.66,4.131,6.74,0.09
0,Pow,AI_VECTOR_CORE,15,56.101,3.5,3.74,4.6,0.077
0,ReduceAll,MIX_AIV,13,55.541,3.3,4.272,12.581,0.076
0,LogicalNot,AI_VECTOR_CORE,37,54.18,1.18,1.464,2.78,0.074
0,ResizeNearestNeighborV2,AI_VECTOR_CORE,4,50.441,7.54,12.61,21.901,0.069
0,Abs,AI_VECTOR_CORE,6,43.161,6.86,7.193,7.92,0.059
0,Log,AI_VECTOR_CORE,13,25.181,1.22,1.937,7.38,0.034
0,Sigmoid,AI_VECTOR_CORE,15,23.8,1.28,1.586,1.86,0.032
